Policy_ID,Policy_Type,Age,Issue_year,Current_Year,Coverage,RiskClass,Premium,Claims,Claim_Costs,Profitability
1085,Home,35,2001,2023,64066.62,SubStandard,6406.662285,2,8330,-0.300209006
1848,Auto,19,2008,2023,64086.71,Substandard,1281.734149,1,2563,-0.999634637
1934,Auto,48,2001,2023,64111.85,SubStandard,1282.236938,3,256,0.800348912
1428,Home,34,2003,2023,64159.04,Standard,6415.90408,0,0,1
1638,Auto,95,2004,2023,64163.3,Substandard,1283.266093,1,1668,-0.299808363
1534,Life,34,2001,2023,64206.99,SubStandard,12841.39851,2,25680,-0.999782187
1792,Home,69,2007,2023,64292.09,SubStandard,6429.208635,2,1285,0.800130922
1625,Home,51,2003,2023,64311.29,Substandard,6431.12946,1,12860,-0.999648752
1932,Life,47,2009,2023,64348.79,Standard,12869.75722,0,0,1
1533,Home,13,2005,2023,64401.89,Substandard,6440.189205,1,8370,-0.299651258
2056,Auto,23,2009,2023,64410.89,SubStandard,1288.21788,2,2576,-0.999661734
1860,Life,3,,2023,64413.3,SubStandard,12882.66008,2,25770,-1.000363267
1719,Auto,22,2004,2023,64433.02,Substandard,1288.660425,1,1675,-0.299799363
1209,Auto,8,,2023,64450.92,Standard,1289.018499,0,0,1
2007,Life,12,2003,2023,64481.4,SubStandard,12896.28084,3,2580,0.799942322
1345,Home,76,2004,2023,64498.76,SubStandard,6449.876265,2,8385,-0.300024939
1100,Life,79,2009,2023,64517.95,SubStandard,12903.59076,3,2580,0.800055655
1925,Home,33,2002,2023,64520.02,SubStandard,6452.002395,2,1290,0.80006207
1605,Life,40,2005,2023,64540.28,SubStandard,12908.05525,2,16780,-0.299963447
1049,Life,30,2008,2023,64562.98,Substandard,12912.59529,1,25830,-1.00037246
1247,Life,20,2003,2023,64565.69,SubStandard,12913.13841,3,25830,-1.000288325
1663,Auto,46,2007,2023,64703.82,SubStandard,1294.076499,2,259,0.799857273
1762,Life,75,2005,2023,64866.41,Substandard,12973.28148,1,2590,0.800358914
1050,Auto,7,2005,2023,64892.08,Substandard,1297.841556,1,260,0.799667379
1746,Auto,71,2002,2023,64940.89,Standard,1298.817891,0,0,1
1819,Home,97,2003,2023,65025.48,SubStandard,6502.54762,2,13005,-0.999985353
1543,Life,52,2008,2023,65115.58,Substandard,13023.1158,1,26050,-1.000289362
1078,Auto,93,2006,2023,65152.94,Substandard,1303.058762,1,261,0.799702049
1098,Auto,26,2005,2023,65176.68,SubStandard,1303.533524,2,261,0.799775
1212,Life,56,2002,2023,65204.21,SubStandard,13040.84176,3,26080,-0.999870904
1175,Life,21,2008,2023,65304.27,Substandard,13060.85388,1,16980,-0.300068139
1901,Auto,36,2004,2023,65327,SubStandard,1306.54007,3,1699,-0.30038109
2034,Auto,37,2003,2023,65340.64,SubStandard,1306.812839,3,261,0.800277444
1478,Life,22,2004,2023,65347.27,Substandard,13069.45469,1,16990,-0.299977727
1386,Home,20,2003,2023,65401.26,Standard,6540.12626,0,0,1
1989,Life,45,2008,2023,65425,Substandard,13084.99904,1,2620,0.799770715
1667,Home,13,2008,2023,65432.52,Standard,6543.251995,0,0,1
1015,Life,46,2008,2023,65602.72,SubStandard,13120.5435,2,26240,-0.999917153
1404,Life,62,2005,2023,65624.99,SubStandard,13124.99792,3,26250,-1.000000317
1110,Life,1,2009,2023,65629.61,Standard,13125.92266,0,0,1
1256,Auto,20,,2023,65703.46,SubStandard,1314.069209,3,2628,-0.999894665
1505,Home,51,2008,2023,65762.96,SubStandard,6576.29619,2,1315,0.80003942
1783,Home,23,2001,2023,65770.23,Standard,6577.023425,0,0,1
1908,Home,8,2007,2023,65833.98,Substandard,6583.397765,1,13165,-0.999727264
1349,Auto,25,2009,2023,65842.48,Substandard,1316.84952,1,1712,-0.300072616
1155,Home,17,2005,2023,65935.55,SubStandard,6593.554745,3,13185,-0.999680068
1034,Home,51,2004,2023,65991.54,Substandard,6599.15355,1,8580,-0.300166746
1170,Home,67,2009,2023,65998.78,SubStandard,6599.8776,2,13200,-1.000037092
1560,Home,15,2003,2023,66028.78,SubStandard,6602.87813,2,8585,-0.300190588
1367,Auto,65,2003,2023,66039.68,SubStandard,1320.793531,3,2642,-1.000312644
1896,Auto,53,2003,2023,66056.43,Preferred,1321.128643,0,0,1
1717,Home,46,2009,2023,66065.22,SubStandard,6606.52159,3,1320,0.800197429
1698,Home,79,2007,2023,66078.25,Substandard,6607.825345,1,8590,-0.299973827
1029,Auto,60,2001,2023,66088.54,Substandard,1321.770873,1,264,0.800267955
1377,Auto,18,2005,2023,66125.33,SubStandard,1322.506595,3,1719,-0.299804482
1400,Auto,13,2008,2023,66152.28,SubStandard,1323.045526,3,265,0.799704549
1059,Home,53,2009,2023,66159.85,SubStandard,6615.98509,3,8600,-0.29988201
1394,Auto,38,2007,2023,66193.44,SubStandard,1323.868898,2,2648,-1.000198059
1702,Home,16,2009,2023,66248.97,SubStandard,6624.897255,3,8610,-0.299642797
1780,Home,35,2003,2023,66342.05,SubStandard,6634.20465,2,8625,-0.300080485
1488,Life,19,2002,2023,66365.87,Standard,13273.17394,0,0,1
1620,Home,18,,2023,66367.51,SubStandard,6636.75099,2,1325,0.800354119
1142,Life,46,2005,2023,66379.33,SubStandard,13275.86578,3,17260,-0.300103533
1323,Life,29,2007,2023,66412.26,SubStandard,13282.45143,3,17270,-0.300211794
1738,Auto,100,2003,2023,66482.81,SubStandard,1329.656285,3,266,0.7999483
1312,Home,25,2002,2023,66511.9,Substandard,6651.19011,1,1330,0.800035786
1704,Auto,71,2006,2023,66527.33,Standard,1330.546568,0,0,1
1528,Auto,23,2002,2023,66558.93,Standard,1331.178588,0,0,1
1699,Auto,42,2006,2023,66643.33,Substandard,1332.866643,1,267,0.799679884
2057,Auto,35,2009,2023,66699.23,Standard,1333.984625,0,0,1
1795,Home,29,2002,2023,66710.25,Substandard,6671.025425,1,1335,0.799880841
1418,Auto,39,2004,2023,66737.13,Substandard,1334.742678,1,2669,-0.999636367
1185,Life,16,2006,2023,66779.67,SubStandard,13355.9343,3,26710,-0.999860092
1622,Life,54,2004,2023,66865.95,Standard,13373.19058,0,0,1
1651,Life,32,2005,2023,66885.64,Substandard,13377.1277,1,2680,0.799658039
1052,Home,25,2001,2023,66893.94,SubStandard,6689.393505,3,1340,0.799682886
1419,Life,61,2003,2023,66896.16,SubStandard,13379.23222,3,17390,-0.299775631
1806,Home,58,2002,2023,66900.22,Standard,6690.02234,0,0,1
1169,Auto,36,2002,2023,66944.6,Substandard,1338.892049,1,1741,-0.300328881
1823,Home,26,2002,2023,66957.42,SubStandard,6695.74216,2,1340,0.799872819
2044,Life,13,2001,2023,66958.25,SubStandard,13391.64976,3,26780,-0.999753614
1260,Life,42,2002,2023,66989.67,Substandard,13397.93431,1,2680,0.799969164
1906,Home,77,2002,2023,67004.63,SubStandard,6700.463145,3,1340,0.800013824
1721,Life,35,,2023,67019.78,SubStandard,13403.95512,2,26810,-1.000155906
1905,Home,3,2009,2023,67024.9,Substandard,6702.49012,1,8715,-0.300263013
1365,Life,8,2009,2023,67027.76,SubStandard,13405.55157,3,17430,-0.300207598
1662,Home,22,2007,2023,67050.21,SubStandard,6705.020715,2,1340,0.80014976
1157,Auto,17,2002,2023,67053.19,Standard,1341.063892,0,0,1
1976,Home,57,,2023,67057.72,Substandard,6705.77204,1,13410,-0.999769739
1853,Auto,54,2006,2023,67084.53,SubStandard,1341.690504,2,1744,-0.299852682
1021,Life,33,2004,2023,67130.21,SubStandard,13426.04158,3,2690,0.799643105
1202,Auto,58,2008,2023,67137.5,SubStandard,1342.750069,2,1746,-0.300316448
1668,Auto,100,2002,2023,67149,SubStandard,1342.979961,2,1746,-0.300093859
1119,Life,22,2005,2023,67159.47,SubStandard,13431.89329,3,17460,-0.299891208
1993,Auto,53,2001,2023,67178.03,Substandard,1343.560566,1,269,0.799785728
1459,Home,38,2002,2023,67239.24,Standard,6723.92406,0,0,1
1429,Life,28,2002,2023,67245.63,SubStandard,13449.12549,2,26900,-1.000130047
1218,Auto,32,2007,2023,67266.86,SubStandard,1345.337212,3,1749,-0.300045806
1370,Life,18,2007,2023,67267.19,SubStandard,13453.43848,3,2690,0.800051117
1525,Auto,42,2005,2023,67285.19,SubStandard,1345.703838,3,1749,-0.299691619
1340,Life,29,,2023,67338.83,Standard,13467.7656,0,0,1
1424,Home,38,2007,2023,67343.93,SubStandard,6734.393415,2,8755,-0.300042849
1178,Life,75,,2023,67344.63,SubStandard,13468.92656,2,26940,-1.000159395
2035,Home,14,2004,2023,67348.99,SubStandard,6734.89889,3,8755,-0.299945277
1942,Home,45,2003,2023,67361.86,SubStandard,6736.186255,3,1345,0.800332124
1609,Auto,14,2006,2023,67375.65,Standard,1347.513042,0,0,1
1944,Auto,12,2005,2023,67401.92,Standard,1348.03834,0,0,1
1703,Home,53,2008,2023,67406.08,Substandard,6740.60822,1,1350,0.799721337
1766,Life,51,,2023,67506.94,Standard,13501.3889,0,0,1
1652,Auto,12,2005,2023,67553.01,SubStandard,1351.06019,3,2702,-0.9999109
2025,Life,17,2002,2023,67646.16,Standard,13529.23272,0,0,1
1144,Life,25,2009,2023,67664.99,Substandard,13532.99805,1,17590,-0.299785896
1114,Life,41,2001,2023,67687.12,SubStandard,13537.423,2,27070,-0.999642029
1290,Home,26,2007,2023,67764.82,Standard,6776.481895,0,0,1
1580,Life,95,2005,2023,67779.45,Preferred,13555.89056,0,0,1
1564,Auto,8,,2023,67798.52,Substandard,1355.970353,1,271,0.800143123
1126,Home,20,2001,2023,67801.88,SubStandard,6780.187565,3,1355,0.800153021
1364,Auto,60,,2023,67849.31,Substandard,1356.986123,1,271,0.800292726
1835,Life,26,2004,2023,67882.93,Substandard,13576.58536,1,17650,-0.300032337
1096,Auto,72,,2023,67984.6,Substandard,1359.692021,1,2719,-0.999717552
1637,Auto,40,2008,2023,68002.33,Standard,1360.046673,0,0,1
2043,Auto,23,2006,2023,68029.53,Standard,1360.590662,0,0,1
1690,Life,6,2009,2023,68084.62,SubStandard,13616.92314,3,2720,0.80024856
1555,Home,16,2001,2023,68130.22,SubStandard,6813.022375,3,13625,-0.999846654
1313,Life,18,2008,2023,68233.81,SubStandard,13646.76274,3,17740,-0.299941996
1618,Auto,36,,2023,68244.04,Standard,1364.880854,0,0,1
2015,Life,41,2005,2023,68260.55,SubStandard,13652.10993,3,27300,-0.999690901
1601,Life,100,,2023,68270.47,Substandard,13654.09404,1,17750,-0.299976399
1288,Auto,29,2009,2023,68294.78,Substandard,1365.895513,1,273,0.800131125
1788,Auto,100,2002,2023,68317.44,Standard,1366.348767,0,0,1
1282,Auto,18,2003,2023,68344.49,Standard,1366.889807,0,0,1
1827,Life,67,2005,2023,68358.38,SubStandard,13671.67672,2,17770,-0.299767422
1453,Home,19,,2023,68365.46,SubStandard,6836.54551,3,8890,-0.300364341
1550,Auto,27,2005,2023,68403.39,SubStandard,1368.06772,3,2736,-0.999900999
1581,Home,38,2007,2023,68421.11,Substandard,6842.11058,1,8895,-0.300037451
1177,Auto,12,,2023,68450.32,SubStandard,1369.006365,2,1780,-0.300213093
1194,Life,26,2002,2023,68456.16,SubStandard,13691.23191,2,2740,0.799871917
1272,Life,17,2008,2023,68481.06,SubStandard,13696.21277,2,2740,0.799944697
1547,Life,50,2003,2023,68490.57,SubStandard,13698.11408,2,27400,-1.000275355
1112,Home,40,2003,2023,68505.79,SubStandard,6850.578905,3,13700,-0.999830991
1246,Home,4,2004,2023,68544.56,SubStandard,6854.456345,2,13710,-1.000158628
1920,Home,9,2001,2023,68551.2,Standard,6855.12015,0,0,1
2060,Home,54,2008,2023,68551.68,SubStandard,6855.16817,2,1370,0.800150782
1308,Home,82,2003,2023,68553.01,Substandard,6855.300635,1,13710,-0.999912291
1136,Auto,24,2006,2023,68556.32,SubStandard,1371.126374,2,1782,-0.299661383
1950,Life,28,2002,2023,68573.55,SubStandard,13714.71061,3,17830,-0.300063888
1657,Home,41,2006,2023,68580.47,SubStandard,6858.047215,3,1370,0.800234679
1933,Auto,15,,2023,68608.2,SubStandard,1372.163984,2,274,0.800315412
1697,Life,63,2002,2023,68635.99,Substandard,13727.19815,1,2750,0.799667786
1063,Home,5,2006,2023,68641.14,SubStandard,6864.1138,2,13730,-1.000258213
1470,Auto,6,2009,2023,68663.55,SubStandard,1373.271091,2,275,0.799748206
1696,Life,32,2006,2023,68670.8,SubStandard,13734.16041,2,27470,-1.000122263
1012,Home,41,2006,2023,68678.27,Substandard,6867.827455,1,13735,-0.999904641
1118,Auto,35,2003,2023,68681.01,Substandard,1373.620267,1,2747,-0.99982489
1358,Auto,6,2004,2023,68681.67,SubStandard,1373.63331,3,1786,-0.300201434
1490,Home,24,2007,2023,68692.72,Standard,6869.271995,0,0,1
1669,Auto,36,2006,2023,68698.76,SubStandard,1373.975109,3,1786,-0.299877988
1457,Home,42,2005,2023,68725.4,Standard,6872.53988,0,0,1
1816,Home,65,2008,2023,68752.2,Standard,6875.220275,0,0,1
1151,Life,9,2007,2023,68778.23,Substandard,13755.64583,1,27510,-0.9999061
1789,Auto,25,,2023,68798.9,SubStandard,1375.978019,2,275,0.800142156
1732,Home,36,2003,2023,68811,SubStandard,6881.100345,3,8945,-0.299937445
1735,Home,35,2008,2023,68834.11,Standard,6883.41139,0,0,1
1303,Auto,46,2005,2023,68838.34,SubStandard,1376.766806,2,2754,-1.000338756
1320,Auto,42,2007,2023,68855.16,SubStandard,1377.103185,2,1790,-0.299829976
1871,Home,87,2004,2023,68861.92,SubStandard,6886.19236,3,13770,-0.999653695
2058,Home,21,,2023,68871.84,SubStandard,6887.184355,3,13775,-1.000091662
1603,Auto,96,2007,2023,68914.29,Standard,1378.285862,0,0,1
1511,Auto,18,2003,2023,68930.22,SubStandard,1378.604359,2,276,0.799797528
1240,Auto,27,2006,2023,68937.44,Standard,1378.748716,0,0,1
1390,Home,20,2005,2023,69090.37,Substandard,6909.03718,1,8980,-0.29974695
1491,Home,100,2004,2023,69112.79,SubStandard,6911.27932,2,1380,0.800326403
1742,Home,58,2003,2023,69126.83,Substandard,6912.68284,1,13825,-0.9999471
1205,Life,64,2003,2023,69127.93,Standard,13825.58523,0,0,1
1568,Home,46,2007,2023,69128.94,Substandard,6912.894155,1,13825,-0.999885965
1916,Home,59,2003,2023,69132.93,SubStandard,6913.29265,2,8985,-0.299670136
1420,Home,4,2001,2023,69171.63,SubStandard,6917.16348,2,8990,-0.299665683
1076,Home,15,,2023,69187.68,SubStandard,6918.768055,3,8995,-0.300086942
1760,Home,49,2008,2023,69268.61,Standard,6926.86066,0,0,1
2006,Auto,27,2005,2023,69281.02,SubStandard,1385.620458,3,1801,-0.299778731
1439,Home,47,2008,2023,69285.48,Substandard,6928.5479,1,13855,-0.999697512
2033,Home,100,2009,2023,69366.25,SubStandard,6936.6254,3,9020,-0.300344113
1943,Home,34,2007,2023,69367.11,SubStandard,6936.71109,2,1385,0.800337655
1434,Auto,17,2006,2023,69444.27,SubStandard,1388.885367,3,2778,-1.000165072
1314,Auto,35,2006,2023,69446.38,Standard,1388.927505,0,0,1
1297,Auto,58,2005,2023,69453.42,Standard,1389.068308,0,0,1
1946,Auto,21,2007,2023,69455.43,SubStandard,1389.108688,2,2778,-0.999843514
1554,Auto,47,2003,2023,69469.8,Substandard,1389.396059,1,2779,-1.00014962
1027,Life,41,2001,2023,69505.34,Standard,13901.06718,0,0,1
1186,Life,24,2008,2023,69521.21,SubStandard,13904.24233,3,18080,-0.300322561
1474,Auto,23,2006,2023,69580.55,Substandard,1391.610986,1,1809,-0.29993225
1751,Home,30,2008,2023,69602.25,Substandard,6960.225335,1,1390,0.800293822
1980,Auto,43,2004,2023,69606.91,SubStandard,1392.13815,3,2784,-0.999801528
1232,Life,42,2007,2023,69626.73,SubStandard,13925.34644,3,27850,-0.999950243
1683,Auto,21,2002,2023,69647.69,Standard,1392.953866,0,0,1
1812,Auto,18,2008,2023,69647.91,SubStandard,1392.958154,2,279,0.799706833
1985,Life,28,2001,2023,69648.05,SubStandard,13929.60909,3,18110,-0.300108272
1728,Life,43,2005,2023,69672.98,SubStandard,13934.59671,3,18110,-0.299642923
1972,Life,9,2008,2023,69702.35,Substandard,13940.47023,1,27880,-0.999932537
1527,Home,29,2002,2023,69786,SubStandard,6978.599825,3,1395,0.800103168
1389,Life,100,2005,2023,69816.34,SubStandard,13963.26775,2,2790,0.800190038
1531,Life,47,2004,2023,69839.9,Substandard,13967.98054,1,2790,0.800257454
1941,Home,8,2008,2023,69854.84,SubStandard,6985.48429,2,13970,-0.999861344
1685,Auto,14,2009,2023,69885.48,Standard,1397.70966,0,0,1
1841,Home,45,2005,2023,69886.83,SubStandard,6988.68306,2,1400,0.799676135
1633,Life,47,2001,2023,69913.44,Substandard,13982.68717,1,2800,0.799752368
1677,Life,94,2006,2023,69913.78,SubStandard,13982.75525,3,2800,0.799753343
1196,Auto,36,2009,2023,69958.36,SubStandard,1399.167288,3,2798,-0.999760875
1103,Life,33,2005,2023,69981.97,SubStandard,13996.39496,3,18200,-0.30033484
1225,Auto,48,2008,2023,69982.25,Standard,1399.64494,0,0,1
1309,Life,100,2002,2023,70007.53,SubStandard,14001.50502,3,2800,0.800021498
2011,Life,90,2001,2023,70061.8,SubStandard,14012.35983,2,18220,-0.300280625
1213,Auto,69,,2023,70068.29,SubStandard,1401.365838,2,1822,-0.300160137
1179,Home,59,2005,2023,70127.82,Standard,7012.78203,0,0,1
1733,Auto,57,2009,2023,70155.45,SubStandard,1403.10905,2,281,0.799730463
1776,Life,46,2009,2023,70172.77,SubStandard,14034.55489,3,2810,0.799779899
1338,Home,20,2001,2023,70205.19,Preferred,7020.519125,0,0,1
1948,Life,22,2001,2023,70251.71,SubStandard,14050.34137,2,18270,-0.300324278
1854,Auto,100,,2023,70265.85,Standard,1405.316905,0,0,1
1875,Life,21,2001,2023,70286.18,SubStandard,14057.23641,2,18270,-0.299686472
1069,Home,68,2006,2023,70319.43,SubStandard,7031.943165,3,14065,-1.000158373
1501,Auto,22,2003,2023,70325.75,SubStandard,1406.514944,3,2813,-0.99997875
1396,Home,51,2009,2023,70328.13,SubStandard,7032.813235,3,14065,-0.999910922
1351,Life,6,,2023,70340.82,SubStandard,14068.16423,2,28140,-1.000260982
1216,Auto,23,2008,2023,70344.77,SubStandard,1406.895398,3,1829,-0.300025576
1223,Life,57,2009,2023,70347.66,Standard,14069.53228,0,0,1
1241,Auto,40,2004,2023,70349.87,SubStandard,1406.997421,3,281,0.800283927
1263,Auto,48,2001,2023,70392.38,SubStandard,1407.847624,3,282,0.799694232
1180,Life,51,2001,2023,70403.37,Substandard,14080.67406,1,18300,-0.29965369
1927,Home,100,,2023,70436.61,Standard,7043.6614,0,0,1
1720,Auto,31,2006,2023,70436.61,SubStandard,1408.732299,3,282,0.799820022
1417,Home,70,2008,2023,70447.94,Standard,7044.793765,0,0,1
1945,Auto,17,2006,2023,70448.13,SubStandard,1408.962699,3,282,0.799852757
2024,Home,41,2005,2023,70479.21,SubStandard,7047.92099,3,1410,0.799941004
1506,Home,8,2002,2023,70506.38,Standard,7050.637785,0,0,1
1081,Life,7,2006,2023,70511.98,SubStandard,14102.39691,2,2820,0.800033993
2061,Life,22,2006,2023,70529.27,Substandard,14105.85362,1,28210,-0.999878969
1326,Auto,6,2002,2023,70539.57,SubStandard,1410.791347,2,1834,-0.299979621
1817,Home,84,2002,2023,70648.2,Substandard,7064.819695,1,1415,0.799711803
1886,Life,49,2004,2023,70649.24,Substandard,14129.84775,1,2830,0.799714756
1116,Life,16,2007,2023,70666.36,Substandard,14133.27297,1,2830,0.799763296
1600,Auto,35,2001,2023,70690.28,SubStandard,1413.805609,2,2828,-1.00027499
1472,Home,26,2007,2023,70705.11,SubStandard,7070.511135,2,9190,-0.299764589
1577,Auto,22,2001,2023,70711.46,Standard,1414.229167,0,0,1
1252,Auto,34,2003,2023,70715.05,SubStandard,1414.300987,2,2829,-1.000281429
1588,Life,55,2008,2023,70777.62,SubStandard,14155.52321,2,18400,-0.299845984
1296,Auto,100,2003,2023,70808.35,SubStandard,1416.166975,3,2832,-0.999764187
1195,Auto,66,2001,2023,70868.39,Substandard,1417.367826,1,283,0.800334116
1727,Home,27,2009,2023,70891.94,Substandard,7089.193565,1,14180,-1.000227511
1548,Home,26,,2023,70894.89,SubStandard,7089.488935,3,14180,-1.000144175
1295,Auto,50,2009,2023,70900.94,SubStandard,1418.018856,2,2836,-0.999973405
1559,Life,57,2003,2023,70908.18,SubStandard,14181.63679,2,2840,0.799741028
1712,Home,16,2009,2023,70915.07,Standard,7091.506995,0,0,1
1266,Home,36,2002,2023,70929.73,Standard,7092.97337,0,0,1
1072,Auto,59,2007,2023,70992.01,SubStandard,1419.840298,3,284,0.799977504
1701,Life,6,2001,2023,71001.66,Standard,14200.33153,0,0,1
1006,Auto,21,2007,2023,71033.19,SubStandard,1420.663718,2,284,0.800093438
1986,Home,88,2009,2023,71066.45,SubStandard,7106.64487,3,1420,0.800187004
1926,Life,7,2008,2023,71071.13,Substandard,14214.22567,1,18480,-0.300105994
1831,Auto,100,2008,2023,71120.39,Standard,1422.407725,0,0,1
1744,Auto,54,2006,2023,71127.36,Substandard,1422.547238,1,285,0.799655159
1499,Life,79,2005,2023,71182.7,Substandard,14236.53998,1,2850,0.799810909
1745,Auto,21,2002,2023,71187.6,SubStandard,1423.751944,2,1851,-0.300086021
1686,Home,54,,2023,71187.78,Standard,7118.777725,0,0,1
1623,Life,20,2009,2023,71193.82,Substandard,14238.76496,1,2850,0.799842191
1149,Life,21,2004,2023,71219.32,Substandard,14243.86405,1,2850,0.799913844
1083,Home,54,2002,2023,71244.42,SubStandard,7124.44159,3,14250,-1.000156759
1450,Auto,34,2002,2023,71274.07,SubStandard,1425.481465,2,2851,-1.000026005
